Date,City,State,Fatalities,Wounded
4/23/1999,Atlanta,Georgia,1,No Info
5/20/1999,Conyers,Georgia,0,No Info
5/20/1999,Conyers,Georgia,0,6.0
8/25/1999,Monticello,Georgia,1,No Info
9/7/1999,Plano,Texas,1,No Info
9/9/1999,San Jose,California,1,No Info
11/19/1999,Deming,New Mexico,0,No Info
11/19/1999,Deming,New Mexico,1,0.0
12/6/1999,Fort Gibson,Oklahoma,0,No Info
12/6/1999,Fort Gibson,Oklahoma,0,6.0
1/19/2000,New Port Richey,Florida,0,No Info
2/29/2000,Flint,Michigan,1,No Info
2/29/2000,Flint,Michigan,1,0.0
5/10/2000,Sierra Vista,Arizona,2,No Info
5/26/2000,Lake Worth,Florida,1,No Info
5/26/2000,Lake Worth,Florida,1,0.0
6/28/2000,Seattle,Washington,2,No Info
7/26/2000,Canton,Ohio,1,No Info
8/28/2000,Fayetteville,Arkansas,2,No Info
8/28/2000,Fayetteville,Arkansas,2,0.0
9/5/2000,Bidwell,Ohio,2,No Info
9/26/2000,New Orleans,Louisiana,0,No Info
9/26/2000,New Orleans,Louisiana,0,2.0
10/23/2000,Los Angeles,California,1,No Info
10/26/2000,Brooklyn,New York,1,No Info
10/27/2000,Memphis,Tennessee,1,No Info
12/1/2000,Granada Hills,California,0,No Info
12/1/2000,San Diego,California,0,1.0
1/10/2001,Oxnard,California,1,No Info
1/17/2001,Baltimore,Maryland,1,No Info
1/29/2001,Arlington,Texas,1,No Info
3/2/2001,San Diego,California,0,No Info
3/5/2001,Santee,California,2,No Info
3/5/2001,Santee,California,2,13.0
3/7/2001,Williamsport,Pennsylvania,0,No Info
3/7/2001,Williamsport,Pennsylvania,0,1.0
3/22/2001,El Cajon,California,0,No Info
3/22/2001,El Cajon,California,0,5.0
3/30/2001,Gary,Indiana,1,No Info
3/30/2001,Gary,Indiana,1,0.0
4/3/2001,Klein,Texas,0,No Info
4/25/2001,Cleveland,Ohio,1,No Info
5/15/2001,Ennis,Texas,0,No Info
5/16/2001,Parkland,Washington,2,0.0
5/17/2001,Pierce County,Washington,1,No Info
10/12/2001,Taylorsville,Utah,0,No Info
11/12/2001,Caro,Michigan,0,No Info
1/15/2002,New York City,New York,0,No Info
1/15/2002,New York City,New York,0,2.0
1/16/2002,Gundy,Virginia,3,No Info
1/16/2002,Grundy,Virginia,3,3.0
2/20/2002,Milwaukee,Wisconsin,1,0.0
6/11/2002,Conception,Missouri,3,2.0
7/26/2002,Charlotte,North Carolina,1,No Info
10/4/2002,San Antonio,Texas,1,No Info
10/7/2002,Bowie,Maryland,0,No Info
10/7/2002,Bowie,Maryland,0,1.0
10/28/2002,Tucson,Arizona,4,No Info
10/28/2002,Tucson,Arizona,4,0.0
10/29/2002,Jersey City,New Jersey,0,1.0
11/7/2002,Liberty,Missouri,1,No Info
12/16/2002,Chicago,Illinois,1,No Info
3/23/2003,Meridian,Mississippi,0,No Info
4/10/2003,Walnut,California,0,No Info
4/14/2003,New Orleans,Louisiana,1,No Info
4/14/2003,New Orleans,Louisiana,1,3.0
4/17/2003,Addison,Texas,1,No Info
4/24/2003,Red Lion,Pennsylvania,1,No Info
4/24/2003,Red Lion,Pennsylvania,2,0.0
5/9/2003,Cleveland,Ohio,1,No Info
5/9/2003,Cleveland,Ohio,1,2.0
5/13/2003,Johnstown,Pennsylvania,1,No Info
6/4/2003,Wellsboro,Pennsylvania,0,No Info
7/15/2003,Dallas,Texas,0,No Info
9/24/2003,Cold Spring,Minnesota,2,No Info
9/24/2003,Cold Spring,Minnesota,2,0.0
10/30/2003,Washington,District Of Columbia,1,No Info
11/7/2003,Sugar Land,Texas,1,No Info
1/21/2004,Henderson,Nevada,1,No Info
2/2/2004,District of Columbia,District Of Columbia,1,No Info
2/2/2004,Washington,D.C.,1,0.0
2/9/2004,East Greenbush,New York,0,No Info
2/9/2004,East Greenbush,New York,0,1.0
2/11/2004,Philadelphia,Pennsylvania,1,No Info
3/17/2004,Joyce,Washington,0,No Info
5/7/2004,Randallstown,Maryland,0,No Info
5/7/2004,Randallstown,Maryland,0,4.0
5/24/2004,Salt Lake City,Utah,1,No Info
6/1/2004,St Croix,Virgin Islands,1,No Info
8/30/2004,Maywood,Illinois,1,No Info
10/4/2004,Memphis,Tennessee,0,No Info
11/22/2004,Philadelphia,Pennsylvania,1,No Info
12/10/2004,Nine Mile Falls,Washington,1,No Info
1/6/2005,Philadelphia,Pennsylvania,1,No Info
2/8/2005,Chicago,Illinois,0,1.0
3/2/2005,Dover,Tennessee,1,0.0
3/21/2005,Red Lake,Minnesota,10,No Info
3/21/2005,Red Lake,Minnesota,10,7.0
5/17/2005,Lower Allen Township,Pennsylvania,1,No Info
9/13/2005,Chicago,Illinois,0,No Info
9/13/2005,Chicago,Illinois,0,1.0
11/8/2005,Jacksboro,Tennessee,1,No Info
11/8/2005,Jacksboro,Tennessee,1,2.0
1/13/2006,Birmingham,Alabama,1,No Info
1/13/2006,Longwood,Florida,0,1.0
1/15/2006,Longwood,Florida,1,No Info
2/23/2006,Roseburg,Oregon,1,No Info
2/23/2006,Roseburg,Oregon,0,1.0
3/14/2006,Reno,Nevada,0,No Info
3/14/2006,Reno,Nevada,0,2.0
6/5/2006,Venice,California,1,No Info
8/24/2006,Essex,Vermont,2,No Info
8/24/2006,Essex Junction,Vermont,2,3.0
8/30/2006,Hillsborough,North Carolina,3,No Info
8/30/2006,Hillsborough,North Carolina,0,2.0
9/2/2006,Shepherdstown,West Virginia,2,No Info
9/2/2006,Shepherdstown,West Virginia,3,0.0
9/17/2006,Pittsburgh,Pennsylvania,0,No Info
9/17/2006,Pittsburgh,Pennsylvania,0,5.0
9/27/2006,Bailey,Colorado,1,No Info
9/27/2006,Bailey,Colorado,2,0.0
9/29/2006,Cazenovia,Wisconsin,1,No Info
9/29/2006,Cazenovia,Wisconsin,1,0.0
10/2/2006,Nickel Mines,Pennsylvania,5,No Info
10/2/2006,Nickel Mines,Pennsylvania,6,3.0
10/9/2006,Joplin,Missouri,0,No Info
10/9/2006,Joplin,Missouri,0,0.0
10/17/2006,Katy,Texas,1,No Info
10/29/2006,Fresno,California,1,No Info
11/28/2006,Houston,Texas,1,No Info
12/12/2006,Erdenheim,Pennsylvania,1,No Info
1/3/2007,Tacoma,Washington,1,No Info
1/3/2007,Tacoma,Washington,1,0.0
2/8/2007,Prineville,Oregon,1,No Info
3/7/2007,Midland,Michigan,0,No Info
3/7/2007,Greenville,Texas,0,No Info
3/7/2007,Compton,California,0,1.0
3/24/2007,Greensboro,North Carolina,0,No Info
4/2/2007,Seattle,Washington,1,No Info
4/10/2007,Gresham,Oregon,0,No Info
4/16/2007,Blacksburg,Virginia,32,No Info
4/16/2007,Blacksburg,Virginia,33,23.0
9/21/2007,Dover,Delaware,1,No Info
9/28/2007,Oroville,California,0,No Info
9/30/2007,Memphis,Tennessee,1,No Info
10/10/2007,Cleveland,Ohio,0,No Info
10/10/2007,Cleveland,Ohio,1,4.0
11/6/2007,Miami Gardens,Florida,0,1.0
1/15/2008,Putnam City,Oklahoma,0,No Info
1/16/2008,Cleveland,Ohio,0,No Info
1/16/2008,Charlotte,North Carolina,0,No Info
2/4/2008,Memphis,Tennessee,0,No Info
2/4/2008,Memphis,Tennessee,0,1.0
2/7/2008,Portsmouth,Ohio,0,No Info
2/8/2008,Baton Rouge,Louisiana,3,No Info
2/8/2008,Baton Rouge,Louisiana,3,0.0
2/11/2008,Memphis,Tennessee,0,No Info
2/11/2008,Memphis,Tennessee,0,1.0
2/12/2008,Oxnard,California,1,No Info
2/12/2008,Oxnard,California,1,0.0
2/14/2008,DeKalb,Illinois,5,No Info
2/14/2008,DeKalb,Illinois,6,21.0
2/23/2008,Jonesboro,Arkansas,0,No Info
2/27/2008,Little Rock,Arkansas,0,No Info
2/28/2008,Miami Gardens,Florida,0,No Info
3/6/2008,Mobile,Alabama,1,No Info
3/7/2008,Chicago,Illinois,1,No Info
4/5/2008,Chicago,Illinois,1,No Info
4/16/2008,Fresno,California,1,No Info
4/24/2008,Omaha,Nebraska,0,No Info
4/29/2008,Washington,District of Columbia,0,No Info
7/24/2008,Phoenix,Arizona,0,No Info
8/14/2008,Federal Way,Washington,1,No Info
8/14/2008,Federal Way,Washington,1,0.0
8/21/2008,Knoxville,Tennessee,1,No Info
8/21/2008,Knoxville,Tennessee,1,0.0
8/29/2008,Portland,Oregon,0,No Info
9/2/2008,Willoughby,Ohio,0,No Info
9/2/2008,Willoughby,Ohio,0,0.0
10/13/2008,San Antonio,Texas,1,No Info
10/16/2008,Detroit,Michigan,1,No Info
10/16/2008,Detroit,Michigan,1,3.0
10/20/2008,Acton,California,1,No Info
10/21/2008,Indianapolis,Indiana,1,No Info
10/26/2008,Conway,Arkansas,2,No Info
10/26/2008,Conway,Arkansas,2,1.0
10/31/2008,Stockton Springs,Maine,0,No Info
11/12/2008,Fort Lauderdale,Florida,1,No Info
11/13/2008,Fort Lauderdale,Florida,1,0.0
11/15/2008,St. George,Utah,1,No Info
11/21/2008,Savannah,Georgia,0,No Info
1/8/2009,New Castle,Delaware,0,No Info
1/9/2009,Chicago,Illinois,0,No Info
1/9/2009,Chicago,Illinois,0,5.0
1/23/2009,Cahokia,Illinois,1,No Info
2/7/2009,Houston,Texas,1,No Info
2/11/2009,El Monte,California,0,No Info
2/17/2009,Detroit,Michigan,0,No Info
3/6/2009,Fayetteville,North Carolina,0,No Info
3/10/2009,Jacksonville,Florida,2,No Info
4/10/2009,Dearborn,Michigan,1,No Info
4/24/2009,Houston,Texas,1,No Info
4/26/2009,Hampton,Virginia,0,No Info
4/26/2009,Hampton,Virginia,0,3.0
5/1/2009,Sheboygan,Wisconsin,0,No Info
5/5/2009,Canandaigua,New York,0,No Info
5/18/2009,Larose,Louisiana,0,No Info
5/18/2009,Cambridge,Massachusetts,1,No Info
5/18/2009,Cambridge,Massachusetts,1,0.0
5/18/2009,Larose,Louisiana,1,0.0
6/9/2009,Lexington,Kentucky,1,No Info
6/16/2009,San Francisco,California,0,No Info
6/16/2009,San Francisco,California,0,3.0
6/24/2009,Parkersburg,Iowa,1,No Info
9/2/2009,San Bruno,California,0,No Info
9/3/2009,Atlanta,Georgia,1,No Info
9/3/2009,San Bruno,California,0,1.0
9/8/2009,Stamford,Connecticut,0,No Info
9/14/2009,Grand Rapids,Michigan,0,No Info
9/16/2009,Henrico,Virginia,0,No Info
10/16/2009,Carolina Forest,South Carolina,1,No Info
10/16/2009,Conway,South Carolina,1,0.0
10/30/2009,Long Beach,California,1,No Info
11/16/2009,Dallas,Texas,0,No Info
12/2/2009,Brockton,Massachusetts,0,No Info
12/8/2009,Woodbridge,Virginia,0,No Info
12/11/2009,Shreveport,Louisiana,0,No Info
1/7/2010,Phoenix,Arizona,0,No Info
1/20/2010,Livingston,Alabama,1,No Info
2/5/2010,Madison,Alabama,1,No Info
2/5/2010,Madison,Alabama,1,0.0
2/10/2010,Knoxville,Tennessee,0,No Info
2/12/2010,Huntsville,Alabama,3,No Info
2/12/2010,Huntsville,Alabama,3,3.0
2/19/2010,DeKalb,Illinois,0,No Info
2/19/2010,DeKalb,Illinois,0,1.0
2/23/2010,Littleton,Colorado,0,No Info
2/23/2010,Littleton,Colorado,0,2.0
2/26/2010,Tacoma,Washington,2,No Info
3/9/2010,Columbus,Ohio,1,No Info
3/9/2010,Columbus,Ohio,1,1.0
4/29/2010,Portsmouth,Virginia,0,No Info
5/18/2010,South Gate,California,0,No Info
8/31/2010,Blountville,Tennessee,1,No Info
9/7/2010,Detroit,Michigan,0,No Info
9/8/2010,Detroit,Michigan,0,2.0
9/16/2010,Moss Bluff,Louisiana,1,No Info
9/21/2010,Columbia,South Carolina,0,No Info
9/28/2010,Austin,Texas,1,No Info
9/28/2010,Austin,Texas,1,0.0
10/1/2010,Salinas,California,1,No Info
10/1/2010,Salinas,California,1,0.0
10/3/2010,Elizabeth City,North Carolina,1,No Info
10/8/2010,Carlsbad,California,0,No Info
10/8/2010,Carlsbad,California,0,2.0
10/25/2010,Selma,Alabama,0,No Info
11/29/2010,Marinette,Wisconsin,0,No Info
11/29/2010,Marinette,Wisconsin,1,0.0
12/6/2010,Aurora,Colorado,0,1.0
1/5/2011,Omaha,Nebraska,1,No Info
1/5/2011,Omaha,Nebraska,2,2.0
1/18/2011,Los Angeles,California,0,No Info
2/2/2011,Placerville,California,1,No Info
2/14/2011,Murfreesboro,Tennessee,0,No Info
2/23/2011,Los Angeles,California,1,No Info
3/25/2011,Martinsville,Indiana,0,No Info
3/25/2011,Martinsville,Indiana,0,1.0
3/31/2011,Houston,Texas,1,No Info
3/31/2011,Houston,Texas,1,5.0
4/6/2011,Opelika,Alabama,1,No Info
4/13/2011,Apopka,Florida,0,No Info
4/19/2011,Houston,Texas,0,No Info
5/23/2011,Pearl City,Hawaii,0,No Info
5/23/2011,Pearl City,Hawaii,0,1.0
8/26/2011,Harper Woods,Michigan,0,No Info
10/24/2011,Fayetteville,North Carolina,0,No Info
10/24/2011,Fayetteville,North Carolina,0,1.0
11/15/2011,Berkeley,California,0,No Info
12/8/2011,Blacksburg,Virginia,1,No Info
12/8/2011,Blacksburg,Virginia,2,0.0
12/9/2011,Edinburg,Texas,0,No Info
12/9/2011,Edinburg,Texas,0,2.0
1/4/2012,Brownsville,Texas,0,No Info
1/10/2012,Houston,Texas,0,No Info
1/10/2012,Houston,Texas,0,1.0
2/10/2012,Walpole,New Hampshire,0,No Info
2/22/2012,Bremerton,Washington,0,No Info
2/27/2012,Chardon,Ohio,3,No Info
2/27/2012,Chardon,Ohio,3,3.0
3/6/2012,Jacksonville,Florida,1,No Info
3/6/2012,Jacksonville,Florida,2,0.0
3/24/2012,Starkville,Mississippi,1,No Info
4/2/2012,Oakland,California,7,No Info
4/2/2012,Oakland,California,7,3.0
5/26/2012,Chapel Hill,North Carolina,1,No Info
8/16/2012,Memphis,Tennessee,0,No Info
8/16/2012,Memphis,Tennessee,0,2.0
8/27/2012,Perry Hall,Maryland,0,No Info
8/27/2012,Perry Hall,Maryland,0,1.0
9/7/2012,Normal,Illinois,0,No Info
9/7/2012,Normal,Illinois,0,0.0
9/12/2012,Baltimore,Maryland,0,No Info
10/6/2012,Mobile,Alabama,1,0.0
10/19/2012,Chicago,Illinois,1,0.0
10/31/2012,Los Angeles,California,0,No Info
10/31/2012,Los Angeles,California,0,4.0
11/30/2012,Baltimore,Maryland,0,No Info
12/14/2012,Newtown,Connecticut,27,No Info
12/14/2012,Newtown,Connecticut,28,2.0
